Time(Minutes),EntityID,ObjectName,ProcessID,StepName,Action
0,MyTransporter1[1],Home,2.OnEnteredParking,[End],Process 'Home.OnEnteredParking' execution ended.
0,MyTransporter2[1],MyTransporter2[1],2.OnRunInitialized,[Begin],Process 'MyTransporter2[1].OnRunInitialized' execution started.
0,MyTransporter2[1],MyTransporter2[1],2.OnRunInitialized,[Park] AtInitialNode,Entity 'MyTransporter2[1]' transferring from '[FreeSpace] Model1' into station 'Home.ParkingStation'.
0,MyTransporter2[1],Home,3.OnEnteredParking,[Begin],Process 'Home.OnEnteredParking' execution started.
0,MyTransporter2[1],Home,3.OnEnteredParking,[EndTransfer] EndTransfer,Entity 'MyTransporter2[1]' ending transfer into station 'Home.ParkingStation'.
0,MyTransporter2[1],Home,3.OnEnteredParking,[End],Process 'Home.OnEnteredParking' execution ended.
0,MyPicker2[1],MyPicker2[1],3.OnRunInitialized,[Begin],Process 'MyPicker2[1].OnRunInitialized' execution started.
0,MyPicker2[1],MyPicker2[1],3.OnRunInitialized,[Park] AtInitialNode,Entity 'MyPicker2[1]' transferring from '[FreeSpace] Model1' into station 'Home.ParkingStation'.
0,MyPicker2[1],Home,4.OnEnteredParking,[Begin],Process 'Home.OnEnteredParking' execution started.
0,MyPicker2[1],Home,4.OnEnteredParking,[EndTransfer] EndTransfer,Entity 'MyPicker2[1]' ending transfer into station 'Home.ParkingStation'.
0,MyPicker2[1],Home,4.OnEnteredParking,[End],Process 'Home.OnEnteredParking' execution ended.
0,MyTransporter3[1],MyTransporter3[1],4.OnRunInitialized,[Begin],Process 'MyTransporter3[1].OnRunInitialized' execution started.
0,MyTransporter3[1],MyTransporter3[1],4.OnRunInitialized,[Park] AtInitialNode,Entity 'MyTransporter3[1]' transferring from '[FreeSpace] Model1' into station 'Home.ParkingStation'.
0,MyTransporter3[1],Home,5.OnEnteredParking,[Begin],Process 'Home.OnEnteredParking' execution started.
0,MyTransporter3[1],Home,5.OnEnteredParking,[EndTransfer] EndTransfer,Entity 'MyTransporter3[1]' ending transfer into station 'Home.ParkingStation'.
0,MyTransporter3[1],Home,5.OnEnteredParking,[End],Process 'Home.OnEnteredParking' execution ended.
0,MyPicker1[1],MyPicker1[1],0.OnRunInitialized,[Decide] IfOnShift,Token branching on condition 'ResourceState!=List.ResourceStateName.OffShift'.
